x y
-0.75 -0.5
-0.45 -0.5
-0.15 -0.5
0.15 -0.5
0.45 -0.5
0.75 -0.5
-0.75 -0.166667
-0.45 -0.166667
-0.15 -0.166667
0.15 -0.166667
0.45 -0.166667
0.75 -0.166667
-0.75 0.166667
-0.45 0.166667
-0.15 0.166667
0.15 0.166667
0.45 0.166667
0.75 0.166667
-0.75 0.5
-0.45 0.5
-0.15 0.5
0.15 0.5
0.45 0.5
0.75 0.5
